,title,price,type,beds,studio,baths,area,location,handover,payment,offplan,verified_plan,agent_plan
55,5 Beds | Custom Corner Villa | Large Plot,"10,500,000",Villa,5,,6,"6,355 sqft","The Aldea, The Villa, Dubai",,,,on 17th of April 2025,TruBroker™
56,Ready Now | Main Park Backing | Payment Plan,"25,500,000",Villa,5,,4,"6,163 sqft","Golf Place II, Golf Place Terraces, Dubai Hills Estate, Dubai",,,,on 17th of April 2025,TruBroker™
57,CORNER UNIT | OPPOSITE TO PARK | SINGLE ROW,"3,500,000",Villa,4,,4,"2,468 sqft","Mudon Al Ranim 8, Mudon Al Ranim, Mudon, Dubai",Q3 2026,60/40,Off-Plan,on,TruBroker™
58,Exclusive | Full Renovation | Corner Plot | Pool,"14,500,000",Villa,5,,6,"8,107 sqft","Saheel, Arabian Ranches, Dubai",,,,on 17th of April 2025,TruBroker™
59,Exclusive | Tenanted | Premium Location,"9,000,000",Villa,3,,4,"2,893 sqft","Club Villas, Dubai Hills Estate, Dubai",,,,on 17th of April 2025,TruBroker™
60,Resort Living | Tranquil | Payment Plan,"27,000,000",Villa,6,,10,"12,959 sqft","Tierra Address Villas, The Oasis by Emaar, Dubai",Q2 2029,80/20,Off-Plan,on,
61,"OPEN HOUSE SATURDAY 19th | Largest plot 5,444 sqft","5,650,000",Villa,4,,5,"2,893 sqft","Murooj Al Furjan, Al Furjan, Dubai",,,,on 16th of April 2025,
62,Close to Pool | Genuine seller | View today,"3,600,000",Villa,3,,4,"2,152 sqft","Elan, Tilal Al Ghaf, Dubai",,,,on 16th of April 2025,
63,Close to pool | Single Row | Good Location,"3,700,000",Villa,3,,3,"2,152 sqft","Elan, Tilal Al Ghaf, Dubai",,,,on 16th of April 2025,
64,Luxury 4BR Villa - Golf Course View - Large Plot,"7,000,000",Villa,4,,5,"6,794 sqft","Fairway Villas, Emaar South, Dubai South, Dubai",Q3 2026,40/60,Off-Plan,on,TruBroker™
65,One of a Kind | Luxury Living | A Must See,"14,950,000",Villa,5,,5,"4,350 sqft","Al Mahra, Arabian Ranches, Dubai",,,,on 16th of April 2025,TruBroker™
66,Single Row | Upgraded | Vacant | Pool View,"5,699,999",Villa,4,,6,"4,184 sqft","Picadilly Green, DAMAC Hills, Dubai",,,,on 16th of April 2025,TruBroker™
67,Fully Upgraded | Vacant | Near Pool and Park,"8,000,000",Villa,4,,5,"9,761 sqft","Green Community West, Green Community, Dubai",,,,on 16th of April 2025,TruBroker™
68,Fully Upgraded | Vacant | Motivated,"14,500,000",Villa,5,,6,"5,677 sqft","Harmony 2, Harmony, Tilal Al Ghaf, Dubai",,,,on 16th of April 2025,TruBroker™
69,Architecturally Redesigned | Extended| View Today,"14,950,000",Villa,5,,5,"7,831 sqft","Al Mahra, Arabian Ranches, Dubai",,,,on 16th of April 2025,TruBroker™
70,4 Beds | Vacant | East Facing Custom Villa,"6,199,999",Villa,4,,5,"5,677 sqft","The Aldea, The Villa, Dubai",,,,on 16th of April 2025,TruBroker™
71,Exclusive | 5 Bedroom | Vacant | Well Maintained,"12,000,000",Villa,5,,6,"4,847 sqft","Terra Nova, Arabian Ranches, Dubai",,,,on 16th of April 2025,
72,Cheapest Unit | Single Row | Multiple Options | 3yrs Post Handover Payment Plan,"6,950,000",Villa,4,,4,"3,920 sqft","Yasmina Villas, Expo Valley, Expo City, Dubai",Q1 2026,45/55,Off-Plan,on,TruBroker™
73,Community Facing | Ready Soon | Single Row,"5,820,000",Villa,4,,4,"3,088 sqft","June, Arabian Ranches 3, Dubai",Q2 2025,87/13,Off-Plan,on,TruBroker™
74,Type 6 | Upgraded Rare Layout Park Backing,"10,950,000",Villa,4,,3,"4,100 sqft","Saheel 1, Saheel, Arabian Ranches, Dubai",,,,on 16th of April 2025,TruBroker™
75,Great Location Turnkey Home Massive Plot,"16,999,999",Villa,5,,8,"6,000 sqft","Saheel 1, Saheel, Arabian Ranches, Dubai",,,,on 16th of April 2025,TruBroker™
76,UPGRADED | PRIVATE POOL | TYPE 2 | 8K PLOT,"11,950,000",Villa,4,,5,"4,018 sqft","The Meadows 9, The Meadows, Dubai",,,,on 15th of April 2025,TruBroker™
77,3 Years Post Handover| Corner 4 Bed+ Family+Maid's,"7,000,000",Villa,4,,5,"4,031 sqft","Yasmina Villas, Expo Valley, Expo City, Dubai",Q1 2026,45/55,Off-Plan,on,
78,Park Backing | Skyline Views | Large Plot,"9,000,000",Villa,4,,4,"3,691 sqft","Golf Grove, Dubai Hills Estate, Dubai",,,,on 15th of April 2025,TruBroker™
79,4 bed Garden Suite | Open Kitchen | Private,"8,200,000",Villa,4,,5,"4,016 sqft","Harmony 3, Harmony, Tilal Al Ghaf, Dubai",,,,on 15th of April 2025,TruBroker™
80,One Of A Kind | Golf And Lake View | VOT,"10,250,000",Villa,4,,5,"3,426 sqft","Jumeirah Luxury, Jumeirah Golf Estates, Dubai",,,,on 15th of April 2025,
81,Exclusive | Great location | Turnberry style,"17,500,000",Villa,5,,6,"5,650 sqft","Flame Tree Ridge, Jumeirah Golf Estates, Dubai",,,,on 15th of April 2025,TruBroker™
82,View Today | Entertainment Mansion | Earth Golf View,"35,000,000",Villa,5,,6,"6,997 sqft","Sanctuary Falls, Jumeirah Golf Estates, Dubai",,,,on 15th of April 2025,TruBroker™
83,5 Bedrooms | Golf View | Exclusive,"14,750,000",Villa,5,,4,"5,490 sqft","Savannah, Arabian Ranches, Dubai",,,,on 15th of April 2025,
84,Upgraded | Open Plan Kitchen | Well Maintained,"7,200,000",Villa,4,,5,"4,329 sqft","Bungalows Area, Green Community West, Green Community, Dubai",,,,on 15th of April 2025,TruBroker™
85,Turnkey Custom Villa | Full Golf Course View,"92,000,000",Villa,6,,8,"19,748 sqft","Emerald Hills, Dubai Hills Estate, Dubai",,,Off-Plan,on,
86,"Corner, Large Plot, Mature Garden, Single Row,","8,899,999",Villa,3,,3,"9,896 sqft","Legacy Large, Legacy, Jumeirah Park, Dubai",,,,on 15th of April 2025,
87,Vacant | Big plot | Great location | View today,"10,750,000",Villa,5,,5,"4,239 sqft","Al Mahra, Arabian Ranches, Dubai",,,,on 15th of April 2025,TruBroker™
88,Luxurious I 5BR Plus Office I Furnished | Upgraded,,Villa,5,,6,"7,372 sqft","Garden Homes Frond M, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",,,,on 15th of April 2025,
89,Fully Upgraded | Extended Living Space,"4,300,000",Villa,4,,5,"2,540 sqft","Spring, Arabian Ranches 3, Dubai",,,,on 14th of April 2025,TruBroker™
90,Lake View | Large Plot | Vacant Soon,"11,400,000",Villa,4,,4,"4,099 sqft","The Meadows 9, The Meadows, Dubai",,,,on 14th of April 2025,TruBroker™
91,Ultra-Luxury Smart Villa | Fully Renovated | Vastu,"21,999,888",Villa,5,,6,"13,773 sqft","The Ponderosa, The Villa, Dubai",,,,on 14th of April 2025,TruBroker™
92,Semi Detached | Mortgage Accepted | Vacant,"3,600,000",Villa,3,,5,"2,845 sqft","The Pulse Beachfront, The Pulse, Residential District, Dubai South, Dubai",,,,on 14th of April 2025,
93,RARE Type E | Largest Garden | Corner Unit | Vastu,"7,450,000",Villa,4,,5,"4,943 sqft","Ixora, Al Barari, Dubai",Q2 2024,40/60,Off-Plan,on,TruBroker™
94,Exquisite Upgraded 5BR | Luxury Living Redefined,"12,989,000",Villa,5,,6,"6,667 sqft","Western Residence North, Falcon City of Wonders, Dubai",,,,on 14th of April 2025,
95,Beautiful | 5 Bed+Vastu compliant | Vacant,"10,300,000",Villa,5,,7,"10,169 sqft","Hacienda, The Villa, Dubai",,,,on 14th of April 2025,
96,LIMITED TIME OFFER | LOWEST PRICE | MOTIVATED SELLER,"3,000,000",Villa,3,,4,"1,990 sqft","Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",,,,on 13th of April 2025,TruBroker™
97,Exquisitely Upgraded | Remodeled | 4 Beds,"9,575,000",Villa,4,,5,"6,027 sqft","Saheel, Arabian Ranches, Dubai",,,,on 13th of April 2025,TruBroker™
98,Brand New | Remarkable Renovation | Private Pool,"16,800,000",Villa,5,,6,"6,634 sqft","Al Mahra, Arabian Ranches, Dubai",,,,on 13th of April 2025,TruBroker™
99,The British Way of Life | Built for Dubai’s Visionary Investors,"13,811,185",Villa,5,,6,"6,005 sqft","Knightsbridge 2, District 11, Mohammed Bin Rashid City, Dubai",Q4 2027,,"Off-Plan
|
Initial Sale",on,
100,Address of Prestige | Legacy for Your Family | Invest in Elevated Living |,"14,111,428",Villa,5,,6,"6,005 sqft","Knightsbridge 2, District 11, Mohammed Bin Rashid City, Dubai",Q4 2027,,"Off-Plan
|
Initial Sale",on,
101,Spacious 4Br | Palace | Prime location,"15,086,888",Villa,4,,5,"8,267 sqft","Ostra Palace Villas, The Oasis by Emaar, Dubai",Q3 2029,80/20,Off-Plan,on,
102,Exclusive | Luxury Living | Turn Key,"16,999,998",Villa,5,,6,"5,890 sqft","Aseel, Arabian Ranches, Dubai",,,,on 12th of April 2025,TruBroker™
103,Exclusive | Unique Design | Extended Villa,"14,999,998",Villa,6,,6,"4,622 sqft","Aseel, Arabian Ranches, Dubai",,,,on 12th of April 2025,TruBroker™
104,4BR|Free Golden Visa|1%Monthly|Luxury Lifestyle |Damc Sun City,"2,762,000",Villa,4,,4,"2,319 sqft","DAMAC Sun City, Dubailand, Dubai",Q1 2028,75/25,Off-Plan,on,
105,Near to Al Maktoum Airport|luxury golf living|15mins to expo 2020,"3,588,888",Villa,3,,3,"2,418 sqft","Greenspoint, Emaar South, Dubai South, Dubai",Q1 2029,80/20,Off-Plan,on,
106,5BR| 1% Monthly|Single row|Damac Sun City | Golden visa,"3,833,000",Villa,5,,5,"3,323 sqft","DAMAC Sun City, Dubailand, Dubai",Q1 2028,75/25,Off-Plan,on,
107,Luxurious Villa with Pool in Nad Al Sheba,"12,800,000",Villa,5,,6,"5,105 sqft","Nad Al Sheba Gardens 1, Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai",,,,on 12th of April 2025,TruBroker™
108,OPEN HOUSE:11:30am-1:30pm Sat 19 April|By Appointment,"15,000,000",Villa,5,,5,"6,200 sqft","Family Villa, Green Community (Motor City), Motor City, Dubai",,,,on 11th of April 2025,TruBroker™
109,Waterfront community| Verona |1% Monthly payment,"1,831,000",Villa,4,,4,"2,352 sqft","Verona, DAMAC Hills 2 (Akoya by DAMAC), Dubai",Q2 2026,70/30,Off-Plan,on,
110,Huge Corner Plot | Private Pool | VOT,"6,200,000",Villa,3,,3,"3,052 sqft","Azalea, Arabian Ranches 2, Dubai",,,,on 11th of April 2025,TruBroker™
111,Vacant Now | Corner Plot | Cul De Sac Location,"7,800,000",Villa,5,,6,"6,210 sqft","Green Community West, Green Community, Dubai",,,,on 11th of April 2025,TruBroker™
112,Large plot | Great location | Rare unit | Call now,"8,599,999",Villa,3,,4,"3,527 sqft","District 6, Jumeirah Park, Dubai",,,,on 11th of April 2025,TruBroker™
113,OP to OP | Single Row | On Park and Sports Village,"4,499,999",Villa,4,,5,"4,207 sqft","Alana, The Valley by Emaar, Dubai",Q2 2027,90/10,Off-Plan,on,TruBroker™
114,Reem Townhouse l Modern l Rented | 3 Beds,"2,800,000",Villa,3,,4,"2,023 sqft","Reem Townhouses, Town Square, Dubai",,,,on 11th of April 2025,TruBroker™
115,Fully Upgraded | Motivated Seller | VOT,"15,999,000",Villa,6,,7,"7,767 sqft","Mirador, Arabian Ranches, Dubai",,,,on 11th of April 2025,
116,EXTERNAL MAIDS ROOM | ONE OF A KIND | 4E,"4,375,000",Villa,2,,3,"1,794 sqft","The Springs 14, The Springs, Dubai",,,,on 10th of April 2025,
117,Exclusive | Fully Upgraded and Extended,"9,700,000",Villa,3,,3,"6,000 sqft","The Meadows 9, The Meadows, Dubai",,,,on 10th of April 2025,TruBroker™
118,Upgraded | VOT | Genuine Listing,"3,050,000",Villa,3,,4,"1,935 sqft","Joy, Arabian Ranches 3, Dubai",,,,on 10th of April 2025,TruBroker™
119,Fully Upgraded 4 Bed with Private Pool,"10,000,000",Villa,4,,4,"5,811 sqft","The Meadows 9, The Meadows, Dubai",,,,on 10th of April 2025,TruBroker™
