START DATE,LOCATION,DURATION,Type,Beds,BEDS,AREA (SQFT),FLOOR
"1 May
2025","Al Yass Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","350,000",Apartment,3,"2,514",6
"1 May
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","12 months
RENEWAL","220,000",Apartment,2,"1,422",35
"1 May
2025","The Torch
Dubai Marina","12 months
NEW","90,000",Apartment,1,808,71
"1 May
2025","Princess Tower
Dubai Marina","12 months
NEW","105,000",Apartment,1,923,64
"1 May
2025","The Jewel Tower A
Dubai Marina
The Jewels","12 months
NEW","132,120",Apartment,1,"1,023",7
"1 May
2025","Panoramic
Dubai Marina","12 months
RENEWAL","125,000",Apartment,2,"1,033",Ground
"1 May
2025","Silverene Tower A
Dubai Marina
Silverene","6 months
RENEWAL","115,000",Apartment,2,"1,441",8
"1 May
2025","Al Majara 3
Dubai Marina
Al Majara","12 months
RENEWAL","160,000",Apartment,2,"1,412",9
"1 May
2025","Al Murjan Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","220,000",Apartment,2,"1,699",12
"1 May
2025","Marina Diamond 6
Dubai Marina
Marina Diamonds","12 months
NEW","72,000",Apartment,1,714,11
"1 May
2025","Lootah Complex (Al Husn Marina)
Dubai Marina","12 months
RENEWAL","112,530",Apartment,2,"2,064",5
"1 May
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","12 months
NEW","135,000",Apartment,2,"1,461",2
"1 May
2025","Marina Heights Tower
Dubai Marina","13 months
RENEWAL","103,000",Apartment,1,"1,011",12
"1 May
2025","Marina Quays West
Dubai Marina
Marina Quays","12 months
RENEWAL","93,000",Apartment,1,788,9
"1 May
2025","Marina Diamond 5
Dubai Marina
Marina Diamonds","12 months
RENEWAL","78,000",Apartment,1,708,7
"1 May
2025","Sulafa Tower
Dubai Marina","12 months
NEW","170,000",Apartment,3,"1,513",65
"1 May
2025","Marina Gate 1
Dubai Marina
Marina Gate","12 months
NEW","240,000",Apartment,2,"1,472",12
"1 May
2025","West Avenue
Dubai Marina","12 months
NEW","68,000",Apartment,Studio,443,22
"1 May
2025","Marina Wharf I
Dubai Marina
Marina Wharf","12 months
RENEWAL","113,135",Apartment,2,"1,189",19
"1 May
2025","Marina Star
Dubai Marina","12 months
NEW","87,000",Apartment,Studio,480,10
"1 May
2025","Marina Suites
Dubai Marina","12 months
NEW","108,000",Apartment,2,"1,361",3
"30 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","12 months
NEW","190,000",Apartment,2,"1,233",9
"29 Apr
2025","23 Marina
Dubai Marina","12 months
RENEWAL","260,000",Apartment,3,"2,980",43
"29 Apr
2025","Yacht Bay
Dubai Marina","12 months
RENEWAL","57,750",Apartment,Studio,554,14
"29 Apr
2025","Ocean Heights
Dubai Marina","12 months
RENEWAL","150,000",Apartment,2,"1,458",10
"28 Apr
2025","Marina Suites
Dubai Marina","12 months
RENEWAL","69,000",Apartment,1,809,9
"28 Apr
2025","Marina Diamond 5
Dubai Marina
Marina Diamonds","12 months
NEW","80,000",Apartment,1,714,8
"28 Apr
2025","Elite Residence
Dubai Marina","12 months
RENEWAL","86,900",Apartment,1,960,19
"28 Apr
2025","The Torch
Dubai Marina","12 months
RENEWAL","120,000",Apartment,2,"1,258",67
"28 Apr
2025","Cayan Tower
Dubai Marina","12 months
NEW","185,000",Apartment,2,"1,521",21
"27 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
RENEWAL","159,500",Apartment,3,"1,900",41
"27 Apr
2025","Al Sahab Tower 1
Dubai Marina
Al Sahab Tower","12 months
RENEWAL","120,000",Apartment,2,"1,392",3
"27 Apr
2025","Silverene Tower A
Dubai Marina
Silverene","12 months
NEW","135,000",Apartment,2,"1,067",8
"27 Apr
2025","Princess Tower
Dubai Marina","12 months
RENEWAL","190,000",Apartment,3,"1,999",62
"26 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","12 months
RENEWAL","99,000",Apartment,2,963,7
"26 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","100,000",Apartment,1,829,40
"26 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","2 months
RENEWAL","55,000",Apartment,3,"1,641",13
"26 Apr
2025","DEC Tower 2
Dubai Marina
DEC Towers","12 months
NEW","70,000",Apartment,Studio,518,P2
"26 Apr
2025","Vida Residences Dubai Marina
Dubai Marina","12 months
RENEWAL","320,000",Apartment,3,"1,655",29
"26 Apr
2025","Yacht Bay
Dubai Marina","12 months
NEW","145,000",Apartment,2,"1,558",14
"25 Apr
2025","Dream Tower 2
Dubai Marina
Dream Towers","12 months
RENEWAL","55,200",Apartment,1,690,3
"25 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
RENEWAL","75,000",Apartment,1,829,37
"25 Apr
2025","Manchester Tower
Dubai Marina","12 months
NEW","61,000",Apartment,1,556,15
"25 Apr
2025","The Torch
Dubai Marina","12 months
NEW","90,000",Apartment,1,808,71
"25 Apr
2025","No. 9
Dubai Marina","12 months
RENEWAL","173,250",Apartment,2,"1,097",2
"25 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
NEW","82,368",Apartment,2,"1,251",5
"25 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
NEW","125,000",Apartment,1,857,4
"25 Apr
2025","DEC Tower 1
Dubai Marina
DEC Towers","12 months
RENEWAL","56,700",Apartment,Studio,536,P1
"25 Apr
2025","Marina Diamond 3
Dubai Marina
Marina Diamonds","6 months
RENEWAL","20,350",Apartment,Studio,427,10
"25 Apr
2025","Marina Heights Tower
Dubai Marina","24 months
NEW","265,000",Apartment,2,"1,180",37
"25 Apr
2025","Marina Sail
Dubai Marina","12 months
NEW","150,000",Apartment,2,"1,742",16
"25 Apr
2025","Marina View Tower A
Dubai Marina
Marina View Tower","12 months
NEW","75,000",Apartment,1,760,10
"25 Apr
2025","Dorra Bay
Dubai Marina","14 months
NEW","106,575",Apartment,1,"1,036",4
"25 Apr
2025","Al Majara 3
Dubai Marina
Al Majara","12 months
RENEWAL","93,000",Apartment,1,869,1
"25 Apr
2025","West Avenue
Dubai Marina","4 months
RENEWAL","32,000",Apartment,1,700,14
"25 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","79,431",Apartment,1,695,22
"25 Apr
2025","Marina View Tower A
Dubai Marina
Marina View Tower","12 months
NEW","80,000",Apartment,1,751,15
"25 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","90,000",Apartment,1,743,28
"25 Apr
2025","Al Majara 5
Dubai Marina
Al Majara","12 months
RENEWAL","131,250",Apartment,2,"1,119",Ground
"25 Apr
2025","Marina Suites
Dubai Marina","12 months
RENEWAL","69,000",Apartment,1,826,3
"25 Apr
2025","5242 Tower 2
Dubai Marina
5242 Towers","12 months
RENEWAL","195,000",Apartment,2,"1,131",9
"25 Apr
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","12 months
NEW","180,000",Apartment,1,792,21
"25 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","6 months
RENEWAL","38,500",Apartment,2,"1,216",18
"24 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
RENEWAL","70,350",Apartment,Studio,542,10
"24 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
NEW","130,000",Apartment,1,832,7
"24 Apr
2025","Elite Residence
Dubai Marina","12 months
RENEWAL","135,000",Apartment,2,"1,331",44
"23 Apr
2025","Skyview Tower
Dubai Marina","12 months
NEW","80,000",Apartment,1,897,12
"23 Apr
2025","Continental Tower
Dubai Marina","12 months
NEW","138,000",Apartment,2,"1,306",15
"23 Apr
2025","Princess Tower
Dubai Marina","12 months
NEW","80,000",Apartment,1,862,26
"23 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","12 months
RENEWAL","105,000",Apartment,1,768,35
"23 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","90,000",Apartment,1,919,29
"23 Apr
2025","Skyview Tower
Dubai Marina","12 months
NEW","100,000",Apartment,1,722,15
"22 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
NEW","100,000",Apartment,1,693,19
"22 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","12 months
NEW","60,000",Apartment,Studio,409,4
"22 Apr
2025","Silverene Tower A
Dubai Marina
Silverene","12 months
NEW","160,000",Apartment,2,"1,067",9
"22 Apr
2025","Studio One Tower
Dubai Marina","12 months
RENEWAL","105,000",Apartment,1,718,3
"22 Apr
2025","The Torch
Dubai Marina","12 months
RENEWAL","105,000",Apartment,2,"1,258",65
"22 Apr
2025","The Torch
Dubai Marina","12 months
RENEWAL","85,000",Apartment,1,978,14
"22 Apr
2025","Marina Residence B
Dubai Marina
Marina Residence","3 months
NEW","47,419",Apartment,3,"1,815",10
"22 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","12 months
NEW","60,000",Apartment,Studio,409,3
"22 Apr
2025","The Torch
Dubai Marina","12 months
NEW","140,000",Apartment,1,808,78
"22 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","53,251",Apartment,Studio,446,3
"22 Apr
2025","West Avenue
Dubai Marina","12 months
RENEWAL","145,000",Apartment,2,"1,237",26
"22 Apr
2025","Ocean Heights
Dubai Marina","12 months
RENEWAL","103,400",Apartment,2,"1,202",19
"21 Apr
2025","The Torch
Dubai Marina","12 months
NEW","140,000",Apartment,2,"1,258",34
"21 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","140,000",Apartment,3,"1,579",67
"21 Apr
2025","Aurora
Dubai Marina
Marina Promenade","12 months
NEW","123,000",Apartment,1,"1,002",13
"21 Apr
2025","Marina Gate 1
Dubai Marina
Marina Gate","12 months
NEW","180,000",Apartment,2,"1,256",24
"21 Apr
2025","Stella Maris
Dubai Marina","12 months
RENEWAL","130,000",Apartment,1,966,9
"21 Apr
2025","Marina Opal Tower
Dubai Marina","24 months
NEW","260,000",Apartment,2,"1,536",9
"21 Apr
2025","Sulafa Tower
Dubai Marina","12 months
NEW","90,000",Apartment,1,919,21
"21 Apr
2025","The Zen
Dubai Marina","12 months
NEW","108,000",Apartment,2,"1,474",12
"21 Apr
2025","Studio One Tower
Dubai Marina","12 months
NEW","130,000",Apartment,1,718,16
"21 Apr
2025","The Waves Tower A
Dubai Marina
The Waves","12 months
NEW","100,000",Apartment,1,913,10
"21 Apr
2025","Sulafa Tower
Dubai Marina","12 months
NEW","110,000",Apartment,2,"1,392",62
"21 Apr
2025","Marina Quays West
Dubai Marina
Marina Quays","3 months
RENEWAL","41,250",Apartment,2,"1,254",31
"20 Apr
2025","Marina Gate 1
Dubai Marina
Marina Gate","6 months
NEW","99,000",Apartment,2,"1,256",20
"20 Apr
2025","Marina Diamond 5
Dubai Marina
Marina Diamonds","12 months
NEW","78,000",Apartment,1,714,15
"20 Apr
2025","Marina Diamond 4
Dubai Marina
Marina Diamonds","12 months
RENEWAL","63,756",Apartment,1,754,6
"20 Apr
2025","Marina Diamond 2
Dubai Marina
Marina Diamonds","12 months
NEW","65,000",Apartment,1,589,2
"20 Apr
2025","Blakely Tower
Dubai Marina
Park Island","6 months
RENEWAL","62,000",Apartment,1,938,27
"20 Apr
2025","Marina Promenade
Dubai Marina","12 months
NEW","145,000",Apartment,1,"1,397",Ground
"20 Apr
2025","JW Marriott Hotel Marina
Dubai Marina","12 months
RENEWAL","120,000",Apartment,Studio,540,30
"20 Apr
2025","Ocean Heights
Dubai Marina","12 months
RENEWAL","82,767",Apartment,1,908,57
"20 Apr
2025","Al Mesk Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","125,000",Apartment,1,"1,190",12
"20 Apr
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","12 months
NEW","200,000",Apartment,1,977,44
"20 Apr
2025","Aurora
Dubai Marina
Marina Promenade","12 months
NEW","115,000",Apartment,1,953,8
"20 Apr
2025","Vida Residences Dubai Marina
Dubai Marina","12 months
NEW","320,000",Apartment,2,"1,889",3
"20 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","160,000",Apartment,1,"1,064",15
"20 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","66,000",Apartment,1,845,22
"20 Apr
2025","The Waves Tower B
Dubai Marina
The Waves","12 months
NEW","195,000",Apartment,3,"2,102",6
"20 Apr
2025","DEC Tower 2
Dubai Marina
DEC Towers","12 months
NEW","75,000",Apartment,1,749,5
"20 Apr
2025","Mag 218 Tower
Dubai Marina","12 months
NEW","88,000",Apartment,1,886,24
"20 Apr
2025","Marina Quays North
Dubai Marina
Marina Quays","12 months
RENEWAL","110,000",Apartment,1,983,5
"20 Apr
2025","Escan Marina Tower
Dubai Marina","12 months
NEW","75,000",Apartment,1,660,24
"20 Apr
2025","Marina Diamond 4
Dubai Marina
Marina Diamonds","12 months
NEW","80,000",Apartment,1,674,14
"20 Apr
2025","Paloma
Dubai Marina
Marina Promenade","12 months
NEW","110,000",Apartment,1,"1,036",18
"20 Apr
2025","Aurora
Dubai Marina
Marina Promenade","12 months
RENEWAL","130,000",Apartment,1,953,16
"20 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","77,000",Apartment,1,792,26
"20 Apr
2025","The Royal Oceanic
Dubai Marina","12 months
NEW","150,000",Apartment,2,"1,339",23
"20 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
NEW","75,000",Apartment,1,786,19
"20 Apr
2025","Al Murjan Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","154,350",Apartment,2,"1,699",8
"19 Apr
2025","The Torch
Dubai Marina","12 months
NEW","110,000",Apartment,2,"1,258",48
"19 Apr
2025","Beauport
Dubai Marina
Marina Promenade","12 months
NEW","166,000",Apartment,2,"1,405",7
"19 Apr
2025","Marina Diamond 6
Dubai Marina
Marina Diamonds","12 months
NEW","75,000",Apartment,1,706,6
"19 Apr
2025","Studio One Tower
Dubai Marina","12 months
NEW","95,000",Apartment,1,716,20
"19 Apr
2025","Al Murjan Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","130,000",Apartment,1,"1,528",2
"19 Apr
2025","Marina Residence B
Dubai Marina
Marina Residence","12 months
NEW","95,000",Apartment,1,723,16
"19 Apr
2025","Azure
Dubai Marina","12 months
NEW","140,000",Apartment,2,"1,732",3
"18 Apr
2025","Manchester Tower
Dubai Marina","12 months
RENEWAL","66,550",Apartment,1,573,15
"18 Apr
2025","Dubai Marina Moon Tower
Dubai Marina","12 months
RENEWAL","135,855",Apartment,1,820,4
"18 Apr
2025","Elite Residence
Dubai Marina","12 months
NEW","72,000",Apartment,1,737,39
"18 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","170,000",Apartment,2,"1,376",7
"18 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
RENEWAL","71,000",Apartment,1,774,17
"18 Apr
2025","Jumeirah Living Marina Gate
Dubai Marina
Marina Gate","12 months
NEW","135,000",Apartment,Studio,609,36
"18 Apr
2025","Sparkle Tower 1
Dubai Marina
Sparkle Towers","12 months
NEW","120,000",Apartment,1,865,18
"18 Apr
2025","Marina Pearl
Dubai Marina","12 months
NEW","75,000",Apartment,1,902,3
"17 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","140,000",Apartment,2,"1,293",27
"17 Apr
2025","Al Mesk Tower
Dubai Marina
Dubai Marina Towers","12 months
RENEWAL","130,000",Apartment,1,"1,190",14
"17 Apr
2025","Al Majara 2
Dubai Marina
Al Majara","12 months
NEW","205,000",Apartment,2,"1,303",18
"17 Apr
2025","Marina Diamond 5
Dubai Marina
Marina Diamonds","12 months
RENEWAL","79,000",Apartment,1,706,10
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,11
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,8
"17 Apr
2025","Marina Residence B
Dubai Marina
Marina Residence","12 months
NEW","40,000",Apartment,1,613,13
"17 Apr
2025","Skyview Tower
Dubai Marina","12 months
RENEWAL","95,000",Apartment,1,897,11
"17 Apr
2025","Mag 218 Tower
Dubai Marina","12 months
NEW","145,000",Apartment,2,"1,760",21
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,17
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,17
"17 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","38 months
NEW","180,000",Apartment,Studio,409,13
"17 Apr
2025","Studio One Tower
Dubai Marina","12 months
NEW","89,000",Apartment,Studio,357,11
"16 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","120,000",Apartment,2,"1,161",29
"16 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","13 months
NEW","62,000",Apartment,Studio,409,9
"16 Apr
2025","The Torch
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,258",48
"16 Apr
2025","Attessa
Dubai Marina
Marina Promenade","12 months
RENEWAL","111,000",Apartment,1,"1,141",4
"16 Apr
2025","Marina View Tower B
Dubai Marina
Marina View Tower","12 months
NEW","120,000",Apartment,2,"1,918",1
"16 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","227,000",Apartment,2,"1,544",42
"16 Apr
2025","Marina Quays North
Dubai Marina
Marina Quays","12 months
NEW","130,000",Apartment,1,983,6
"16 Apr
2025","Marina Crown
Dubai Marina","12 months
NEW","70,000",Apartment,2,"1,411",5
"16 Apr
2025","Barcelo Residences
Dubai Marina","12 months
RENEWAL","135,000",Apartment,1,"1,095",34
"16 Apr
2025","Ariyana Tower
Dubai Marina","12 months
RENEWAL","170,000",Apartment,2,"1,700",27
"16 Apr
2025","Dream Tower 1
Dubai Marina
Dream Towers","12 months
NEW","70,000",Apartment,1,779,28
"16 Apr
2025","Bay Central (Central Tower)
Dubai Marina
Bay Central","12 months
RENEWAL","100,000",Apartment,1,650,24
"16 Apr
2025","Marina Gate 2
Dubai Marina
Marina Gate","12 months
NEW","155,000",Apartment,1,770,41
"16 Apr
2025","Marina Gate 1
Dubai Marina
Marina Gate","12 months
NEW","210,000",Apartment,2,"1,398",39
"16 Apr
2025","Marina Crown
Dubai Marina","12 months
RENEWAL","115,000",Apartment,2,"1,714",36
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","60,500",Apartment,Studio,670,1
"15 Apr
2025","Attessa
Dubai Marina
Marina Promenade","12 months
RENEWAL","130,000",Apartment,1,"1,031",25
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
NEW","127,500",Apartment,2,"1,219",25
"15 Apr
2025","Silverene Tower B
Dubai Marina
Silverene","12 months
RENEWAL","84,000",Apartment,Studio,542,7
"15 Apr
2025","Bonaire Tower
Dubai Marina
Park Island","12 months
RENEWAL","137,500",Apartment,2,"1,480",2
"15 Apr
2025","Stella Maris
Dubai Marina","12 months
NEW","140,000",Apartment,1,803,39
"15 Apr
2025","Stella Maris
Dubai Marina","12 months
RENEWAL","190,000",Apartment,1,"1,018",7
"15 Apr
2025","Princess Tower
Dubai Marina","12 months
NEW","88,000",Apartment,1,862,28
"15 Apr
2025","Zumurud Tower
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,594",23
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,756,4
"15 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","140,000",Apartment,1,881,53
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,724,12
"15 Apr
2025","Sparkle Tower 1
Dubai Marina
Sparkle Towers","12 months
NEW","270,000",Apartment,3,"1,878",28
"15 Apr
2025","Marina First Tower
Dubai Marina","12 months
NEW","105,000",Apartment,2,"1,191",3
"15 Apr
2025","Sulafa Tower
Dubai Marina","12 months
RENEWAL","110,000",Apartment,2,"1,372",22
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",7
"15 Apr
2025","La Riviera
Dubai Marina","12 months
NEW","118,000",Apartment,2,"1,185",11
"15 Apr
2025","Marina Opal Tower
Dubai Marina","12 months
NEW","125,000",Apartment,2,"1,889",2
"15 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","12 months
RENEWAL","115,000",Apartment,1,945,38
"15 Apr
2025","Escan Marina Tower
Dubai Marina","12 months
RENEWAL","67,100",Apartment,1,837,8
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",9
"15 Apr
2025","Al Zarooni Building A
Dubai Marina
Al Zarooni Building","12 months
NEW","90,000",Apartment,1,861,11
"15 Apr
2025","Sulafa Tower
Dubai Marina","12 months
NEW","120,000",Apartment,2,"1,391",58
"15 Apr
2025","Marina Pinnacle
Dubai Marina","12 months
RENEWAL","160,000",Apartment,3,"1,579",61
"15 Apr
2025","Cayan Tower
Dubai Marina","12 months
RENEWAL","180,000",Apartment,2,"1,521",25
"15 Apr
2025","DAMAC Heights
Dubai Marina","12 months
NEW","208,000",Apartment,2,"1,510",9
"15 Apr
2025","Marina Heights Tower
Dubai Marina","12 months
NEW","90,000",Apartment,1,"1,008",28
"15 Apr
2025","Marina Quays North
Dubai Marina
Marina Quays","12 months
RENEWAL","205,000",Apartment,3,"1,942",2
"15 Apr
2025","JAM Marina Residence
Dubai Marina","12 months
RENEWAL","145,000",Apartment,2,"1,410",9
"15 Apr
2025","Princess Tower
Dubai Marina","36 months
NEW","405,000",Apartment,2,"1,189",13
"15 Apr
2025","Al Sahab Tower 2
Dubai Marina
Al Sahab Tower","10 months
RENEWAL","102,063",Apartment,2,"1,588",25
"15 Apr
2025","Beauport
Dubai Marina
Marina Promenade","12 months
NEW","110,000",Apartment,1,958,16
"15 Apr
2025","Marina Crown
Dubai Marina","2 months
RENEWAL","17,500",Apartment,1,754,7
"15 Apr
2025","Bunyan Tower
Dubai Marina","12 months
RENEWAL","73,500",Apartment,1,"1,009",15
